algorithm,parameters,requested_k,n_records,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,base_id,dimension,seed,covariance
KMeans,"base_id=46,k=4,dimension=10,seed=43.0,covariance=None",4,2500,4,0.058437451340924595,2.7276481302683004,127.24093698541871,0.0017391804683146068,0.011149144129370228,0.010193437102181103,0.6619361019086932,0.35770125473452313,0.005662823978651842,0.011149144129370228,0.9984,46,10,43.0,
KMeans,"base_id=47,k=4,dimension=10,seed=44.0,covariance=None",4,2500,4,0.05891312556075044,2.729618769439454,127.2466054045888,0.0017470701960877674,0.011151974417288962,0.010196984124988963,0.6615390174828409,0.3580172740090945,0.005664205117599542,0.01115197441728896,0.9984,47,10,44.0,
KMeans,"base_id=48,k=4,dimension=10,seed=45.0,covariance=None",4,2500,4,0.05891312556075044,2.729618769439454,127.2466054045888,0.0017470701960877674,0.011151974417288962,0.010196984124988963,0.6615390174828409,0.3580172740090945,0.005664205117599542,0.01115197441728896,0.9984,48,10,45.0,
KMeans,"base_id=49,k=4,dimension=10,seed=46.0,covariance=None",4,2500,4,0.05891312556075044,2.729618769439454,127.2466054045888,0.0017470701960877674,0.011151974417288962,0.010196984124988963,0.6615390174828409,0.3580172740090945,0.005664205117599542,0.01115197441728896,0.9984,49,10,46.0,
KMeans,"base_id=50,k=5,dimension=10,seed=42.0,covariance=None",5,2500,5,0.04319547639123999,2.785637347794978,116.12895496649436,0.0012180232491519625,0.007811392594915086,0.006723142866203485,0.5530167542337461,0.346308037428498,0.003950247580365201,0.0078113925949150845,0.9984,50,10,42.0,
KMeans,"base_id=51,k=5,dimension=10,seed=43.0,covariance=None",5,2500,5,0.04271769655097253,2.7887587267970155,116.15167104999314,0.0012011662056917705,0.007795029140344838,0.006706790952615292,0.5528665198104267,0.3457118019252687,0.003941955719611341,0.0077950291403448375,0.9984,51,10,43.0,
KMeans,"base_id=52,k=5,dimension=10,seed=44.0,covariance=None",5,2500,5,0.042713745509089907,2.7883378175654974,116.16196678545273,0.0012022363142027903,0.007796513298907577,0.0067081276670051,0.5530025406992168,0.34570876624351893,0.003942715214882504,0.0077965132989075755,0.9984,52,10,44.0,
KMeans,"base_id=53,k=5,dimension=10,seed=45.0,covariance=None",5,2500,5,0.04278516194038197,2.7893218366200787,116.15788010901495,0.0012080830105395941,0.007802116240238858,0.006713760043207105,0.5530263605556344,0.345925633377372,0.0039455527428964715,0.007802116240238857,0.9984,53,10,45.0,
KMeans,"base_id=54,k=5,dimension=10,seed=46.0,covariance=None",5,2500,5,0.042713745509089907,2.7883378175654974,116.16196678545272,0.0012022363142027903,0.007796513298907577,0.0067081276670051,0.5530025406992168,0.34570876624351893,0.003942715214882504,0.0077965132989075755,0.9984,54,10,46.0,
KMeans,"base_id=55,k=6,dimension=10,seed=42.0,covariance=None",6,2500,6,0.05184280974960537,2.6040944552067375,114.84968630711329,0.0011902292922027825,0.0076154533512498325,0.006469564887136503,0.5497199572587455,0.34744823983023393,0.0038499183901674395,0.007615453351249832,0.9984,55,10,42.0,
