base_id,algorithm,dimension,k,seed,covariance,runtime_seconds,inertia,bic,converged
203,GMM,10,2,42.0,full,0.025797083000000498,,58193.081375407,True
204,GMM,10,2,43.0,full,0.02961179199999897,,53913.04201942801,True
205,GMM,10,2,44.0,full,0.021612582999999574,,64854.556329937346,True
206,GMM,10,3,42.0,full,0.022884874999999028,,57412.03198117188,True
207,GMM,10,3,43.0,full,0.02373412499999894,,53359.539835597454,True
208,GMM,10,3,44.0,full,0.020416084000000723,,57412.03198117188,True
209,GMM,10,4,42.0,full,0.04794037500000137,,50823.14868099462,True
210,GMM,10,4,43.0,full,0.10652458300000056,,50657.215725970076,True
211,GMM,10,4,44.0,full,0.03984750000000048,,50081.08117379536,True
212,GMM,10,5,42.0,full,0.05549729200000009,,49342.94325529552,True
213,GMM,10,5,43.0,full,0.05675237499999852,,49343.67604148566,True
214,GMM,10,5,44.0,full,0.08098312499999949,,49342.044617461666,True
215,GMM,10,6,42.0,full,0.09258475000000033,,48185.84550705062,True
216,GMM,10,6,43.0,full,0.09942925000000002,,47359.658173854834,True
217,GMM,10,6,44.0,full,0.0995001250000005,,48510.589122134494,True
218,GMM,10,7,42.0,full,0.18163804199999944,,46632.91475820863,True
219,GMM,10,7,43.0,full,0.1452506669999991,,47061.20154066011,True
220,GMM,10,7,44.0,full,0.10188195899999997,,48200.751162818146,True
221,GMM,10,8,42.0,full,0.11326195799999894,,46854.95451632758,True
222,GMM,10,8,43.0,full,0.13283537500000087,,46460.142561505,True
223,GMM,10,8,44.0,full,0.12069900000000011,,46724.99161348627,True
224,GMM,15,2,42.0,diag,0.023738249999999184,,94146.4295442515,True
225,GMM,15,2,43.0,diag,0.0174232080000003,,94146.40596661337,True
226,GMM,15,2,44.0,diag,0.009699333999998672,,94146.54294366486,True
227,GMM,15,3,42.0,diag,0.029067207999998956,,92672.40266573294,True
228,GMM,15,3,43.0,diag,0.02773449999999933,,90953.392682022,True
229,GMM,15,3,44.0,diag,0.025490292000000636,,90953.96193515338,True
230,GMM,15,4,42.0,diag,0.035747208000000086,,90858.25476677222,True
231,GMM,15,4,43.0,diag,0.033185249999998945,,89592.07933579703,True
232,GMM,15,4,44.0,diag,0.07965549999999944,,89592.01166071102,True
233,GMM,15,5,42.0,diag,0.037786750000000424,,89183.57759607049,True
234,GMM,15,5,43.0,diag,0.017109582999999873,,89183.43571099642,True
235,GMM,15,5,44.0,diag,0.017083833000000936,,87886.1444402515,True
236,GMM,15,6,42.0,diag,0.023156166999999783,,87669.25725636786,True
237,GMM,15,6,43.0,diag,0.009639290999999162,,89767.90835781253,True
238,GMM,15,6,44.0,diag,0.012348000000001136,,87354.12986985072,True
239,GMM,15,7,42.0,diag,0.01372295899999898,,88025.11751207334,True
240,GMM,15,7,43.0,diag,0.02779437499999915,,87114.71976992014,True
241,GMM,15,7,44.0,diag,0.014604791000000006,,87196.65049691564,True
242,GMM,15,8,42.0,diag,0.017100874999998794,,86686.96461507882,True
243,GMM,15,8,43.0,diag,0.013711332999999826,,87055.96475321116,True
244,GMM,15,8,44.0,diag,0.016340292000000645,,86286.24286538172,True
245,GMM,15,2,42.0,full,0.030177792000001702,,91901.88960645554,True
246,GMM,15,2,43.0,full,0.024650833999999122,,84549.85230050271,True
247,GMM,15,2,44.0,full,0.01211287499999969,,100797.52920551463,True
248,GMM,15,3,42.0,full,0.04093858300000086,,76676.51739901843,True
249,GMM,15,3,43.0,full,0.09348870900000072,,77945.18131845094,True
250,GMM,15,3,44.0,full,0.09382241700000016,,74104.81775552743,True
251,GMM,15,4,42.0,full,0.09141229199999934,,73790.42847103543,True
252,GMM,15,4,43.0,full,0.10659416600000071,,75182.42245368085,True
253,GMM,15,4,44.0,full,0.13161191700000074,,71921.33121745953,True
254,GMM,15,5,42.0,full,0.07358837499999993,,72263.13912876655,True
255,GMM,15,5,43.0,full,0.17859424999999973,,71589.25577226201,True
256,GMM,15,5,44.0,full,0.05120045800000028,,66875.82136498878,True
257,GMM,15,6,42.0,full,0.0605780419999995,,70240.49601995829,True
258,GMM,15,6,43.0,full,0.13712625000000145,,72102.64807748758,True
259,GMM,15,6,44.0,full,0.12505204200000009,,67216.79794758666,True
260,GMM,15,7,42.0,full,0.1272899169999988,,63376.81690274478,True
261,GMM,15,7,43.0,full,0.1330051250000004,,68394.0381252756,True
262,GMM,15,7,44.0,full,0.11612508300000002,,70433.45254974301,True
263,GMM,15,8,42.0,full,0.09605316700000088,,64128.51225240741,True
264,GMM,15,8,43.0,full,0.19949270900000116,,65682.86854126879,True
265,GMM,15,8,44.0,full,0.15655029100000206,,63557.77967232076,True
266,GMM,20,2,42.0,diag,0.02669050000000084,,123842.10802949023,True
267,GMM,20,2,43.0,diag,0.023819625000001565,,123842.45771556294,True
268,GMM,20,2,44.0,diag,0.05449487499999961,,123842.57617840554,True
269,GMM,20,3,42.0,diag,0.03574300000000008,,119568.06256299479,True
270,GMM,20,3,43.0,diag,0.03619641700000287,,122073.758554466,True
271,GMM,20,3,44.0,diag,0.02747316700000013,,119568.41991878432,True
272,GMM,20,4,42.0,diag,0.039405042000002055,,117330.06978254148,True
273,GMM,20,4,43.0,diag,0.03857120900000055,,117500.78841525994,True
274,GMM,20,4,44.0,diag,0.015201250000000499,,119585.47921009772,True
275,GMM,20,5,42.0,diag,0.023362250000001694,,116204.99050730583,True
276,GMM,20,5,43.0,diag,0.025817666000001793,,116495.84028042245,True
277,GMM,20,5,44.0,diag,0.01743579200000056,,117275.3479313588,True
278,GMM,20,6,42.0,diag,0.02222045799999961,,116156.30081665402,True
279,GMM,20,6,43.0,diag,0.015104541000003024,,115573.14953509175,True
280,GMM,20,6,44.0,diag,0.021997415999997827,,115831.28777660937,True
281,GMM,20,7,42.0,diag,0.012517916000000184,,115296.03808962708,True
282,GMM,20,7,43.0,diag,0.02026924999999835,,115025.45976084423,True
283,GMM,20,7,44.0,diag,0.015170207999997132,,115290.06586544472,True
284,GMM,20,8,42.0,diag,0.01974158400000192,,113943.73002843875,True
285,GMM,20,8,43.0,diag,0.014912041999998848,,114372.24681084277,True
286,GMM,20,8,44.0,diag,0.027487042000000628,,114599.54549629075,True
287,GMM,20,2,42.0,full,0.022045249999997907,,116305.17024101075,True
288,GMM,20,2,43.0,full,0.03724074999999871,,107410.55608268951,True
289,GMM,20,2,44.0,full,0.04966320899999843,,122509.19644510254,True
290,GMM,20,3,42.0,full,0.03270579199999801,,119617.61197763662,True
291,GMM,20,3,43.0,full,0.0822832499999997,,101956.69445555775,True
292,GMM,20,3,44.0,full,0.038673834000000795,,119617.65684419422,True
293,GMM,20,4,42.0,full,0.06128462499999898,,112319.6648024197,True
294,GMM,20,4,43.0,full,0.08209708300000074,,99347.88243605841,True
295,GMM,20,4,44.0,full,0.08556454200000019,,73756.22986881954,True
296,GMM,20,5,42.0,full,0.25343679100000216,,114482.36804384943,True
297,GMM,20,5,43.0,full,0.12610766599999934,,67505.941586806,True
298,GMM,20,5,44.0,full,0.08833041599999802,,66632.4181863248,True
299,GMM,20,6,42.0,full,0.1318755419999995,,62213.77959666122,True
300,GMM,20,6,43.0,full,0.08855845799999784,,93585.34823593881,True
301,GMM,20,6,44.0,full,0.2113848340000004,,60404.344821840874,True
302,GMM,20,7,42.0,full,0.24618954199999976,,63472.24587293777,True
303,GMM,20,7,43.0,full,0.14154379200000022,,59966.10359837602,True
304,GMM,20,7,44.0,full,0.1254484170000012,,62388.47970994441,True
305,GMM,20,8,42.0,full,0.1368871659999975,,62059.8871411032,True
306,GMM,20,8,43.0,full,0.12127174999999824,,62149.005579331235,True
307,GMM,20,8,44.0,full,0.09896041700000069,,68978.28708099297,True
308,Hierarchical-Ward,5,2,,,0.07684687499999754,,,True
309,Hierarchical-Ward,5,3,,,0.09425170900000168,,,True
310,Hierarchical-Ward,5,4,,,0.08222475000000173,,,True
311,Hierarchical-Ward,5,5,,,0.04889541700000066,,,True
312,Hierarchical-Ward,5,6,,,0.0421336669999981,,,True
313,Hierarchical-Ward,5,7,,,0.044116250000001855,,,True
314,Hierarchical-Ward,5,8,,,0.0461198749999987,,,True
315,Hierarchical-Ward,10,2,,,0.04722520900000049,,,True
316,Hierarchical-Ward,10,3,,,0.047595083000000926,,,True
317,Hierarchical-Ward,10,4,,,0.04737191699999954,,,True
318,Hierarchical-Ward,10,5,,,0.05457629200000014,,,True
319,Hierarchical-Ward,10,6,,,0.05029691700000072,,,True
320,Hierarchical-Ward,10,7,,,0.04713070799999741,,,True
321,Hierarchical-Ward,10,8,,,0.04732350000000096,,,True
