sorted_position,k_distance,min_samples
542,2.273064068546701,20
543,2.2731975353776526,20
544,2.273883635896182,20
545,2.2741960728869057,20
546,2.2746018721940646,20
547,2.274712903873164,20
548,2.275399989620809,20
549,2.2754949179144526,20
550,2.2756508856486604,20
551,2.2765288898458333,20
552,2.277165445289245,20
553,2.277303500382226,20
554,2.2774978417960887,20
555,2.2795332517062374,20
556,2.279596892473258,20
557,2.279941352857841,20
558,2.280176034401375,20
559,2.2804146962679326,20
560,2.2807228618291298,20
561,2.2814935942518098,20
562,2.282549580210888,20
563,2.28289457106038,20
564,2.285353045662988,20
565,2.285634601524129,20
566,2.28667971999297,20
567,2.288141336234085,20
568,2.288781307902794,20
569,2.289055121629664,20
570,2.2896351233564887,20
571,2.2897961889234244,20
572,2.2898013655660034,20
573,2.2900120113389737,20
574,2.290752356444319,20
575,2.290752356444319,20
576,2.2908794755173854,20
577,2.2912613392252026,20
578,2.2916219238512143,20
579,2.291741927740419,20
580,2.292605420113857,20
581,2.2926398958538328,20
582,2.293140729917371,20
583,2.2932092820593595,20
584,2.2939264940935087,20
585,2.2941792566822166,20
586,2.2943684153587003,20
587,2.2944436582670376,20
588,2.294617210101933,20
589,2.2949571412595953,20
590,2.295151050279362,20
591,2.295288992370383,20
592,2.2956143011257666,20
593,2.296392887039755,20
594,2.2970165363975537,20
595,2.297177109125328,20
596,2.2974574535473,20
597,2.2976334721869813,20
598,2.2980423679473057,20
599,2.298556879079232,20
600,2.299703051799885,20
601,2.3007494276531997,20
602,2.3014960870287484,20
603,2.3015563444093505,20
604,2.3017347579084486,20
605,2.3019265569760847,20
606,2.30224339530975,20
607,2.302766345018766,20
608,2.303246174210392,20
609,2.3034976705313595,20
610,2.3039715970004373,20
611,2.3046717672887063,20
612,2.3058661253277055,20
613,2.3061380179280206,20
614,2.306844816419505,20
615,2.3069472318480893,20
616,2.3070077246588663,20
617,2.3074141064661706,20
618,2.307465619584782,20
619,2.3080404250476416,20
620,2.308110993408576,20
621,2.308612331198703,20
622,2.3086221792697814,20
623,2.308875078238859,20
624,2.309064060742196,20
625,2.309362059434275,20
626,2.3108236017932353,20
627,2.3110526959178284,20
628,2.311111329907091,20
629,2.3128342351644067,20
630,2.3130682420239346,20
631,2.3138597930076124,20
632,2.31428079096503,20
633,2.314330875458099,20
634,2.314460120319655,20
635,2.3150915679435466,20
636,2.3154670920763514,20
637,2.315718784275435,20
638,2.315803475049977,20
639,2.315898529501718,20
640,2.3167209059079084,20
641,2.3174202356042466,20
642,2.3176375755047,20
643,2.319833201507964,20
644,2.320093004498817,20
645,2.320156297441918,20
646,2.320440879504776,20
647,2.320471525569568,20
648,2.320931971026099,20
649,2.3214912157313727,20
650,2.321817432342867,20
651,2.321984939344703,20
652,2.322050705135606,20
653,2.3225224766521326,20
654,2.322694341745031,20
655,2.3231346065059157,20
656,2.323218520024855,20
657,2.323445804338286,20
658,2.323774438049916,20
659,2.3239954018830304,20
660,2.3243367479674935,20
661,2.3247151331156815,20
662,2.326251259869451,20
663,2.327120786945035,20
664,2.327727602586987,20
665,2.328874934323392,20
666,2.329191426199055,20
667,2.3296329520983465,20
668,2.329680693452357,20
669,2.3309525017939645,20
670,2.332058283806146,20
671,2.3322665211113005,20
672,2.332977878110599,20
673,2.3330682387086528,20
674,2.333947755926028,20
675,2.3342848248577064,20
676,2.3346815061757087,20
677,2.335192614530836,20
678,2.3368455512080257,20
679,2.3381881530486526,20
680,2.338188317252461,20
681,2.338432273718225,20
682,2.339042290059123,20
683,2.3397013549091366,20
684,2.3400298141501996,20
685,2.3405719847524757,20
686,2.341756832013554,20
687,2.3423102525631276,20
688,2.3425682898131948,20
689,2.342951437821953,20
690,2.3431347245657705,20
691,2.3433178292473977,20
692,2.343708920072673,20
693,2.344369213038247,20
694,2.344645552725406,20
695,2.3449795908616524,20
696,2.3452461502750084,20
697,2.345396838831041,20
698,2.3462932387883955,20
699,2.3462975392720713,20
700,2.3467442825798663,20
701,2.3470772504105057,20
702,2.3486219600341536,20
703,2.3490646186702824,20
704,2.349366482221394,20
705,2.3496140020494307,20
706,2.3497215505045848,20
707,2.3498173695469675,20
708,2.3508473975886313,20
709,2.3512121079402424,20
