reference_cluster,matched_bootstrap_cluster,jaccard,reference_cluster_size,k,bootstrap_run,seed
1,5,0.15789473684210525,19,7,18,1759
2,3,0.6412103746397695,609,7,18,1759
3,1,0.9743589743589743,114,7,18,1759
4,0,0.6219879518072289,493,7,18,1759
5,1,0.008547008547008548,1,7,18,1759
6,6,1.0,85,7,18,1759
0,6,0.9613259668508287,179,7,19,1760
1,5,0.03614457831325301,19,7,19,1760
2,4,0.41778975741239893,609,7,19,1760
3,0,0.9658119658119658,114,7,19,1760
4,2,0.4513157894736842,493,7,19,1760
5,0,0.008620689655172414,1,7,19,1760
6,1,0.9883720930232558,85,7,19,1760
0,2,0.9035532994923858,179,7,20,1761
1,3,0.15789473684210525,19,7,20,1761
2,4,0.45081967213114754,609,7,20,1761
3,0,0.9827586206896551,114,7,20,1761
4,1,0.5041899441340782,493,7,20,1761
5,6,1.0,1,7,20,1761
6,2,0.06037735849056604,85,7,20,1761
0,6,0.09375,12,8,1,1842
1,3,0.6660117878192534,490,8,1,1842
2,6,0.6521739130434783,15,8,1,1842
3,4,0.2310126582278481,180,8,1,1842
4,2,0.004608294930875576,1,8,1,1842
5,5,0.9824561403508771,114,8,1,1842
6,1,1.0,85,8,1,1842
7,0,0.5362095531587057,603,8,1,1842
0,6,0.03081232492997199,12,8,2,1843
1,2,0.8154158215010142,490,8,2,1843
2,7,1.0,15,8,2,1843
3,1,1.0,180,8,2,1843
4,4,1.0,1,8,2,1843
5,5,0.9912280701754386,114,8,2,1843
6,0,0.9883720930232558,85,8,2,1843
7,3,0.4843260188087774,603,8,2,1843
0,2,0.08333333333333333,12,8,3,1844
1,1,0.7576923076923077,490,8,3,1844
2,6,0.13333333333333333,15,8,3,1844
3,7,0.9035532994923858,180,8,3,1844
4,5,1.0,1,8,3,1844
5,0,0.9827586206896551,114,8,3,1844
6,4,0.06642066420664207,85,8,3,1844
7,3,0.7791411042944786,603,8,3,1844
0,5,0.04522613065326633,12,8,4,1845
1,4,0.8073022312373225,490,8,4,1845
2,7,1.0,15,8,4,1845
3,6,0.9944444444444445,180,8,4,1845
4,2,1.0,1,8,4,1845
5,0,0.9824561403508771,114,8,4,1845
6,3,0.9883720930232558,85,8,4,1845
7,1,0.8038897893030794,603,8,4,1845
0,4,0.08333333333333333,12,8,5,1846
1,6,0.6397941680960549,490,8,5,1846
2,5,0.024390243902439025,15,8,5,1846
3,2,0.8762886597938144,180,8,5,1846
4,3,1.0,1,8,5,1846
5,1,0.9741379310344828,114,8,5,1846
6,5,0.07692307692307693,85,8,5,1846
7,7,0.5862068965517241,603,8,5,1846
0,5,0.03125,12,8,6,1847
1,3,0.7234468937875751,490,8,6,1847
2,1,0.06451612903225806,15,8,6,1847
3,5,0.3434343434343434,180,8,6,1847
4,6,1.0,1,8,6,1847
5,0,0.9741379310344828,114,8,6,1847
6,4,0.9764705882352941,85,8,6,1847
7,2,0.6656151419558359,603,8,6,1847
0,7,0.043689320388349516,12,8,7,1848
1,3,0.7898989898989899,490,8,7,1848
2,0,0.8823529411764706,15,8,7,1848
3,2,0.9888888888888889,180,8,7,1848
4,6,0.008771929824561403,1,8,7,1848
5,6,0.9826086956521739,114,8,7,1848
6,4,1.0,85,8,7,1848
7,1,0.7903225806451613,603,8,7,1848
0,3,0.08333333333333333,12,8,8,1849
1,5,0.781496062992126,490,8,8,1849
2,0,0.015625,15,8,8,1849
3,1,0.988950276243094,180,8,8,1849
4,7,1.0,1,8,8,1849
5,0,0.9741379310344828,114,8,8,1849
6,4,1.0,85,8,8,1849
7,6,0.7783094098883573,603,8,8,1849
0,1,0.016605166051660517,12,8,9,1850
1,7,0.5587786259541985,490,8,9,1850
2,6,0.8333333333333334,15,8,9,1850
3,0,0.23270440251572327,180,8,9,1850
4,2,1.0,1,8,9,1850
5,4,1.0,114,8,9,1850
6,5,1.0,85,8,9,1850
7,1,0.44923857868020306,603,8,9,1850
0,6,0.2222222222222222,12,8,10,1851
1,7,0.798804780876494,490,8,10,1851
2,3,0.016,15,8,10,1851
3,1,0.9834254143646409,180,8,10,1851
4,4,0.0051813471502590676,1,8,10,1851
5,3,0.9482758620689655,114,8,10,1851
6,2,0.9770114942528736,85,8,10,1851
7,0,0.797077922077922,603,8,10,1851
0,4,0.043478260869565216,12,8,11,1852
1,7,0.7157258064516129,490,8,11,1852
2,3,0.015503875968992248,15,8,11,1852
3,4,0.4716981132075472,180,8,11,1852
4,5,1.0,1,8,11,1852
5,3,0.9827586206896551,114,8,11,1852
6,6,1.0,85,8,11,1852
7,1,0.6746031746031746,603,8,11,1852
0,6,0.08333333333333333,12,8,12,1853
1,4,0.9701789264413518,490,8,12,1853
2,0,0.015503875968992248,15,8,12,1853
3,3,0.994475138121547,180,8,12,1853
4,1,1.0,1,8,12,1853
5,0,0.9827586206896551,114,8,12,1853
6,2,0.9883720930232558,85,8,12,1853
7,5,0.9597423510466989,603,8,12,1853
0,0,0.11764705882352941,12,8,13,1854
1,5,0.739961759082218,490,8,13,1854
2,7,0.2,15,8,13,1854
3,6,0.8984771573604061,180,8,13,1854
4,3,0.008620689655172414,1,8,13,1854
5,3,0.9658119658119658,114,8,13,1854
6,6,0.060836501901140684,85,8,13,1854
7,2,0.7530487804878049,603,8,13,1854
0,7,0.08333333333333333,12,8,14,1855
1,3,0.6863117870722434,490,8,14,1855
2,2,0.015625,15,8,14,1855
3,5,0.5412371134020618,180,8,14,1855
4,4,1.0,1,8,14,1855
5,2,0.9741379310344828,114,8,14,1855
6,5,0.06806282722513089,85,8,14,1855
7,1,0.5957446808510638,603,8,14,1855
0,2,0.26666666666666666,12,8,15,1856
1,1,0.7142857142857143,490,8,15,1856
2,2,0.025,15,8,15,1856
3,0,0.30368098159509205,180,8,15,1856
4,3,1.0,1,8,15,1856
