algorithm,source_experiment,parameters,selected_k,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,runtime_seconds
Hierarchical,Distance metric sensitivity,"requested_k=8,actual_k=8,distance_metric=euclidean",8,,,0.629525641695436,0.3139408597384722,79.92593526468933,0.2472203401602894,0.1731303761966789,0.1713228396180462,0.9951903966317388,0.3049024055254516,0.1208860971893535,0.1731303761966789,0.9984,0.0931638330000002
Hierarchical,Distance metric sensitivity,"requested_k=2,actual_k=2,distance_metric=manhattan",2,,,0.889608789023519,0.0772997295242234,131.0198649816935,-0.0006660407488544,8.921005051453154e-05,-0.0005634833113243,0.9976003252636496,5.551739820660463e-05,0.000226930930671,8.921005051453154e-05,0.998,0.0895310830000006
Hierarchical,Distance metric sensitivity,"requested_k=3,actual_k=3,distance_metric=manhattan",3,,,0.8300237887373009,0.1063697455811854,94.04384611408314,-0.0011422620640596,0.0001491421342743,-0.0009422310195409,0.9971994468424435,0.0001110570388177,0.0002269815360885,0.0001491421342743,0.998,0.0902907499999994
Hierarchical,Distance metric sensitivity,"requested_k=4,actual_k=4,distance_metric=manhattan",4,,,0.7982862102781848,0.1207046198799659,76.82420429556323,-0.001499614371817,0.000192189776896,-0.0012142927182876,0.9967985684235472,0.000166618939985,0.0002270321699084,0.000192189776896,0.998,0.0905805830000003
Hierarchical,Distance metric sensitivity,"requested_k=5,actual_k=5,distance_metric=manhattan",5,,,0.7825173304615535,0.1243140031098089,68.91223342053989,-0.0017776058621973,0.000224616476113,-0.0014191783210174,0.9963976900069632,0.0002222031193544,0.000227082831617,0.000224616476113,0.998,0.0901102910000002
Hierarchical,Distance metric sensitivity,"requested_k=6,actual_k=6,distance_metric=manhattan",6,,,0.7412624003907805,0.2216763867230597,93.0427128213369,0.3310399793163001,0.2325680336438065,0.2310867381865003,0.9967935952942948,0.3047687623602166,0.188024424936193,0.2325680336438064,0.9984,0.0919140419999999
Hierarchical,Distance metric sensitivity,"requested_k=7,actual_k=7,distance_metric=manhattan",7,,,0.7176711804522578,0.2189975967664669,81.60018729619,0.3052545030256833,0.2127417267794536,0.2111281680794161,0.9963927148867868,0.304802153025883,0.1633919138451398,0.2127417267794536,0.9984,0.089776917
Hierarchical,Distance metric sensitivity,"requested_k=8,actual_k=8,distance_metric=manhattan",8,,,0.6909831416391983,0.2196634669085296,72.81752487159562,0.2831462102555644,0.1960343310571857,0.1943056124024811,0.9959918344799988,0.3048355571014824,0.1444703105569141,0.1960343310571857,0.9984,0.0901111659999998
KMeans,Final selected configurations,k=2,2,2.0,0.0,0.1807099228063333,2.221314555862618,284.36391756604394,0.0036781537324972,0.0005055702711922,-0.0001459688576425,0.9201063227034392,0.0052223315543302,0.0002656435173062,0.0005055702711922,0.998,0.1626255830000005
Hierarchical,Final selected configurations,"k=2,linkage=single",2,2.0,0.0,0.8892326041611816,0.077408343023204,132.71336077206786,-0.0003072213362133,4.159802853790664e-05,-0.0002600086159431,0.9978346575911162,2.3129547387896395e-05,0.0002064213472209,4.159802853790664e-05,0.998,0.3540026659999995
DBSCAN,Final selected configurations,"eps=11.405267,min_samples=30",1,1.0,0.0041666666666666,,,,0.2670772327223387,0.1594299011906836,0.1583838164908061,0.995494131663156,0.2288652175797255,0.1223194559502206,0.1594299011906836,0.998,0.591787416999999
GMM,Final selected configurations,"k=8,covariance=full",8,8.0,0.0,0.0361752746535297,4.147336611969541,134.7119948854929,0.0014262658432302,0.0051390207385563,0.0044224929609562,0.459179628025137,0.3193680304024034,0.002590351323766,0.0051390207385563,0.998,1.175882042000005
